INDEX,LATITUDE,LONGITUDE,FL_hPa,TIME,MERGED,FL
100,34.0,0.0,100,2018-06-23 06:00:00,0.1134043903728898,100
101,34.0,0.0,100,2018-06-23 06:00:00,0.1134229928672448,120
102,34.0,0.0,100,2018-06-23 06:00:00,0.1135565762441488,140
110,34.0,2.0,100,2018-06-23 06:00:00,0.1149277873426456,100
111,34.0,2.0,100,2018-06-23 06:00:00,0.115483842544258,120
112,34.0,2.0,100,2018-06-23 06:00:00,0.1161119727689579,140
120,34.0,4.0,100,2018-06-23 06:00:00,0.119262866742252,100
121,34.0,4.0,100,2018-06-23 06:00:00,0.1197510714471183,120
122,34.0,4.0,100,2018-06-23 06:00:00,0.1200064421517628,140
130,34.0,6.0,100,2018-06-23 06:00:00,0.1204649875276406,100
131,34.0,6.0,100,2018-06-23 06:00:00,0.1202566510774034,120
132,34.0,6.0,100,2018-06-23 06:00:00,0.1205743031871924,140
140,34.0,8.0,100,2018-06-23 06:00:00,0.1205457548424061,100
141,34.0,8.0,100,2018-06-23 06:00:00,0.1198633320326707,120
142,34.0,8.0,100,2018-06-23 06:00:00,0.1188485445221919,140
150,34.0,10.0,100,2018-06-23 06:00:00,0.1176201900259616,100
151,34.0,10.0,100,2018-06-23 06:00:00,0.1178942323349215,120
152,34.0,10.0,100,2018-06-23 06:00:00,0.1189136728445776,140
160,34.0,12.0,100,2018-06-23 06:00:00,0.123451198327966,100
161,34.0,12.0,100,2018-06-23 06:00:00,0.104675742064529,120
162,34.0,12.0,100,2018-06-23 06:00:00,0.1037944719770386,140
170,34.0,14.0,100,2018-06-23 06:00:00,0.1020565110058832,100
171,34.0,14.0,100,2018-06-23 06:00:00,0.102010463891262,120
172,34.0,14.0,100,2018-06-23 06:00:00,0.1023060171999226,140
200,36.0,0.0,100,2018-06-23 06:00:00,0.1069176674865234,100
201,36.0,0.0,100,2018-06-23 06:00:00,0.107094396030703,120
202,36.0,0.0,100,2018-06-23 06:00:00,0.1072718469269856,140
210,36.0,2.0,100,2018-06-23 06:00:00,0.1057920573462511,100
211,36.0,2.0,100,2018-06-23 06:00:00,0.1060181189869037,120
212,36.0,2.0,100,2018-06-23 06:00:00,0.1062655068209987,140
220,36.0,4.0,100,2018-06-23 06:00:00,0.1083860752078543,100
221,36.0,4.0,100,2018-06-23 06:00:00,0.1092358625042527,120
222,36.0,4.0,100,2018-06-23 06:00:00,0.098689263775529,140
230,36.0,6.0,100,2018-06-23 06:00:00,0.0964969913235636,100
231,36.0,6.0,100,2018-06-23 06:00:00,0.0959543107162841,120
232,36.0,6.0,100,2018-06-23 06:00:00,0.0956087769466373,140
240,36.0,8.0,100,2018-06-23 06:00:00,0.0964309939791875,100
241,36.0,8.0,100,2018-06-23 06:00:00,0.0968629069285359,120
242,36.0,8.0,100,2018-06-23 06:00:00,0.097355341800102,140
250,36.0,10.0,100,2018-06-23 06:00:00,0.0976121299880579,100
251,36.0,10.0,100,2018-06-23 06:00:00,0.0977561333027831,120
252,36.0,10.0,100,2018-06-23 06:00:00,0.0978120244915414,140
260,36.0,12.0,100,2018-06-23 06:00:00,0.0969152042753885,100
261,36.0,12.0,100,2018-06-23 06:00:00,0.097193201418313,120
262,36.0,12.0,100,2018-06-23 06:00:00,0.0977374835793278,140
270,36.0,14.0,100,2018-06-23 06:00:00,0.0989184820651147,100
271,36.0,14.0,100,2018-06-23 06:00:00,0.0983905523848911,120
272,36.0,14.0,100,2018-06-23 06:00:00,0.0978180296863569,140
300,38.0,0.0,100,2018-06-23 06:00:00,0.0913873081193289,100
301,38.0,0.0,100,2018-06-23 06:00:00,0.0913675909095575,120
302,38.0,0.0,100,2018-06-23 06:00:00,0.0912302794635712,140
310,38.0,2.0,100,2018-06-23 06:00:00,0.0914567092031264,100
311,38.0,2.0,100,2018-06-23 06:00:00,0.0915719283755929,120
312,38.0,2.0,100,2018-06-23 06:00:00,0.0917849074215794,140
320,38.0,4.0,100,2018-06-23 06:00:00,0.0921348304937328,100
321,38.0,4.0,100,2018-06-23 06:00:00,0.0920901611948198,120
322,38.0,4.0,100,2018-06-23 06:00:00,0.0922679093548419,140
330,38.0,6.0,100,2018-06-23 06:00:00,0.0930881450842227,100
331,38.0,6.0,100,2018-06-23 06:00:00,0.0933107562805314,120
332,38.0,6.0,100,2018-06-23 06:00:00,0.0931622000079285,140
340,38.0,8.0,100,2018-06-23 06:00:00,0.0919373821649547,100
341,38.0,8.0,100,2018-06-23 06:00:00,0.0916453141942957,120
342,38.0,8.0,100,2018-06-23 06:00:00,0.0914102497669611,140
350,38.0,10.0,100,2018-06-23 06:00:00,0.0882217927734813,100
351,38.0,10.0,100,2018-06-23 06:00:00,0.0881096629628364,120
