,1.0,0.1,0.01,0.001,0.0005,0.0001
0,641.8608164097069,641.8608164097069,620.8314715850931,441.3902267215398,409.2184928511976,670.8924518790609
1,828.8129515276938,828.8129515276938,759.8357088603518,759.4846036643532,761.5812811221946,776.3629620642008
2,650.7356314084666,650.7356314084666,650.7356314084666,654.2146005670138,653.716714141625,902.8297720515761
3,762.7552623715288,762.7552623715288,762.7552623715288,1888.8979919253245,1820.2863407406448,0
4,760.4886982609471,760.4886982609471,760.4886982609471,760.3263540940235,760.2065169479064,950.5459700942058
5,731.7692602801901,695.8413627174115,645.1656750307316,608.492466584882,611.5567728690892,1679.0190491437359
6,684.9506384980524,684.9506384980524,613.7344419255886,609.7996552814606,625.4696345890134,658.768670195377
7,796.9340937516198,796.9340937516198,739.9939555951715,0,890.4951720254742,1281.1906291306032
8,742.1068047904183,742.1068047904183,620.2689848076736,618.8391361759138,1495.7765265344208,1242.749775334003
9,724.9548000472159,724.9548000472159,690.1688544477946,689.6789174699288,692.8999612599282,1128.1047677735025
10,757.6006392818095,757.6006392818095,761.1059548536915,760.4365631338085,764.3184270314672,0
11,700.8208246786269,700.8208246786269,700.8208246786269,970.8448990918048,1281.1727539285012,0
12,735.5315489078458,735.5315489078458,760.6328993895494,743.5058380842497,743.3508576611215,786.9471340954187
13,829.4261859657481,715.2848089411755,933.3106993245108,820.4577372155225,685.3402167089124,855.5884267459022
14,723.8678626255795,681.9020177012025,677.7991972130977,888.5157016541476,688.8406738266126,0
15,704.0211653677345,704.0211653677345,723.6888217748088,706.2321556503339,718.4772050758222,1328.240455286049
16,742.0317844766579,692.1285269175982,688.290764456049,692.169759939263,695.4249152897311,0
17,833.3595393989671,833.3595393989671,749.5744808577326,756.3823227708706,756.0799498937207,770.8302519041516
18,671.2478514102467,611.414304539229,607.3285099983364,610.2391017298949,612.7426776814383,0
19,686.2132163698858,686.2132163698858,642.3440342373873,978.2835328640357,984.2323192138277,1373.228039078885
20,719.3409517502733,719.3409517502733,684.4391178114782,683.845324100689,686.97566203366,699.980713481869
21,787.2063802019437,787.2063802019437,773.9289546761084,1865.9913357882492,0,1459.179119191717
22,777.05368362553,626.5922842008486,615.7388722338517,623.3581431715887,644.0832795184895,671.817934618395
23,747.3693933847796,719.489784644733,807.8239552356998,683.3620080856373,744.6346487202717,687.7596292612011
24,829.2785124873875,829.2785124873875,709.4636768941459,709.6210070635515,716.699735777239,0
25,891.8578423367848,729.6077576253659,726.3720147422166,1043.7817929925052,0,0
26,774.0886023665067,648.5691467008845,640.9269743774705,631.0471832302603,643.0926524635123,0
27,1041.482546339213,694.222794255161,686.5357500839038,686.459777266995,689.2944846317374,0
28,772.2172847337306,772.2172847337306,631.4290860185278,654.0782783360489,667.8257636299619,0
29,754.1902209136235,714.8077495294841,678.5011618650467,637.1397427416251,644.1059360640327,0
30,819.7696325520986,819.7696325520986,749.1292309557766,748.3647235206195,748.1260780309007,764.4057253563315
31,645.2524401731293,645.2524401731293,645.2524401731293,648.431983691065,647.6047809416241,660.911073686325
32,805.8990784076019,762.1111711711422,764.6377542846046,767.6861368036487,767.5510447398033,781.7327338431016
33,755.8441395699108,755.8441395699108,706.787611923709,1741.4650945575324,1007.1205320161866,1821.9884374876212
34,734.5352546632041,734.5352546632041,780.8836527167514,1065.4216822160222,1095.6332493927216,757.1342915257629
35,767.4297144284084,735.4140410110687,749.9134618742944,841.4382738286456,843.4366743524636,736.8760633919982
36,650.6153758829014,653.9141333751963,655.8940672029164,691.5114069978985,668.7933892034356,0
37,757.5934839622832,757.5934839622832,757.7684864797753,760.8641094545479,760.7807405986983,816.1489707804571
38,741.0667050221015,741.0667050221015,755.0026292666222,781.1142638636845,978.7521121079118,1318.8094761797379
39,862.6415258235726,770.7821259656442,1080.3935444816136,1308.6403596765492,1023.0096103854286,1024.3793038122176
40,775.5072912313653,775.5072912313653,764.7302198722241,931.9409295762297,924.2316556892571,1397.1173933986279
41,820.9371061611662,820.9371061611662,749.0840693582506,748.3195619230935,748.0933337858687,764.3454291913534
42,726.7372927265699,726.7372927265699,726.7372927265699,725.8700474415183,728.9042414582942,734.9737018557872
43,762.8661689510444,762.8661689510444,752.5707372618423,1030.6361952668826,993.9419097789936,990.5306986344772
44,673.2916828473035,673.2916828473035,667.149530351357,867.8445959346084,860.3443572383077,954.1474729940888
45,839.5443701120419,839.5443701120419,719.1817022638443,862.8095107556719,0,1484.7792090413966
46,786.2805177006178,786.2805177006178,632.0414146845907,638.3384075105007,640.2510280149511,0
47,786.8970511285403,759.9114558348165,773.7030820275925,759.0285610749639,760.0333635391382,765.539917025263
48,674.2318779604146,674.2318779604146,638.8630914421353,606.3571769047684,606.4886937522016,1030.8561418014863
49,639.8409359251782,620.5406157194215,601.2402955136647,601.2402955136647,604.9723883319372,620.12272490923
50,765.8455900551662,765.8455900551662,742.9975230007911,0,950.9874380811199,0
51,880.1718485141608,675.3146461208573,661.6793400637665,659.8830712315901,699.6611705564179,708.211563563399
52,749.1466766102383,749.1466766102383,736.3170981775926,739.804599852651,739.4740057108907,786.6328210042554
53,764.3015099424435,764.3015099424435,753.374900238657,752.6602511065191,752.4696822270939,759.942171179695
54,681.7917826810082,681.7917826810082,717.3245539084221,734.9877796678336,0,1715.5967386194948
55,683.9037649756011,683.9037649756011,706.1168485227912,690.1717474684363,943.2316299518981,1583.083761095835
56,726.715203021302,776.6240053424061,772.9074773977147,783.5467632397724,780.2777277390516,1039.6083312733049
57,766.5412296433142,766.5412296433142,786.7560459571616,763.2490895211598,766.5960682728949,754.3460223094409
58,869.6978993455575,869.6978993455575,759.5743254245914,757.1029153037632,756.8008849014805,760.0560370865703
59,710.2394543312735,710.2394543312735,664.5732680684873,939.6461513153369,944.226266668342,1523.3074762127449
60,784.3729814356249,784.3729814356249,684.7572433448377,675.2999233848109,672.4489973266822,1390.223440838943
61,757.1137786380118,756.1024388913537,730.0691369597884,824.1090086811116,998.5828907935089,1357.6854969221977
62,737.8244590271636,689.1152189841126,689.075196630014,652.7329114198016,654.005079234836,730.3212232206479
63,840.1034163769854,774.8192772364883,770.3971779908527,764.9342492604613,769.2301074592481,783.2187350410316
64,734.0838737739116,734.0838737739116,734.0838737739116,725.3040053715545,728.8192919138755,729.8035052759446
65,762.9356593543577,712.9641147280355,722.1874992363806,1077.3813959310637,1057.3973925420523,0
66,831.1030947551856,763.0395087474865,762.93534797802,1011.4862239726126,1009.6606165966022,979.373581281357
67,792.2718982820468,792.2718982820468,734.1395440238316,747.068260295918,746.9192505867362,761.4102934165525
68,639.314346970513,639.314346970513,633.9941249489356,639.0455269776767,647.4282141116544,796.8657512895157
69,599.7973674554531,599.7973674554531,604.5038983722359,614.1167508536441,614.1167508536441,621.560181364438
70,849.4583632916089,808.7086889311207,773.420967485702,732.4935899143467,736.1811200010027,747.8964397615571
71,681.4214224782914,681.4214224782914,394.4466543651454,343.29895883777033,346.4410482824875,0
72,743.2679906992294,743.2679906992294,743.2679906992294,971.6094039612044,959.637101109475,1333.949080692493
73,680.8942369871025,680.8942369871025,713.0796390781171,971.1563484132905,1631.2990583048984,1161.630152628295
74,749.1778332245962,660.1947929241678,660.1064240501283,674.1222636300506,1258.0709362601442,0
75,783.8543451195798,783.8543451195798,691.5418112872135,1059.2308885901325,1058.9261288331054,0
76,743.9169328003707,743.9169328003707,743.9169328003707,830.9163476435443,830.2445011128333,1739.7745571045632
77,943.1732155701345,720.5672749236762,716.1593933588987,716.3051320817762,723.3135220273786,0
78,749.298546477014,749.298546477014,720.5451989872295,717.3592720326037,712.5262640086314,0
79,896.4414643296755,704.6857691140967,685.3528381508804,693.642023878649,0,1294.2628820337573
80,773.1765640122713,729.9155831998125,840.5528693618677,895.6993405929333,984.5583053796528,0
81,829.3353170565196,715.1939400319469,933.2868887861437,851.6142489809844,685.2922312998938,1161.8200360009102
82,687.3139623934279,687.3139623934279,644.6737905888408,613.0002870230792,615.461620010291,0
83,837.4809075382113,837.4809075382113,743.7294483914502,1777.3857300557377,1005.8892494030104,0
84,778.3490838155805,778.3490838155805,765.0746795692361,748.447364407929,754.577065157786,0
85,784.0587298719038,695.0634946779517,738.1408832179127,1670.0592476514983,688.0753644575932,0
