,LATITUDE,LONGITUDE,FL_hPa,TIME,MERGED,FL
210,34.0,-30.0,100,2018-06-23 06:00:00,0.11340439037288982,100
211,34.0,-30.0,100,2018-06-23 06:00:00,0.11340439037288982,100
212,34.0,-30.0,100,2018-06-23 12:00:00,0.11351427554378504,100
213,34.0,-30.0,100,2018-06-23 12:00:00,0.11351427554378504,100
214,34.0,-30.0,100,2018-06-23 18:00:00,0.11348249991571716,100
215,34.0,-30.0,100,2018-06-23 18:00:00,0.11348249991571716,100
216,34.0,-28.0,100,2018-06-23 06:00:00,0.11342299286724486,100
217,34.0,-28.0,100,2018-06-23 06:00:00,0.11342299286724486,100
218,34.0,-28.0,100,2018-06-23 12:00:00,0.11341401602758751,100
219,34.0,-28.0,100,2018-06-23 12:00:00,0.11341401602758751,100
220,34.0,-28.0,100,2018-06-23 18:00:00,0.1131034335474432,100
221,34.0,-28.0,100,2018-06-23 18:00:00,0.1131034335474432,100
222,34.0,-26.0,100,2018-06-23 06:00:00,0.11355657624414886,100
223,34.0,-26.0,100,2018-06-23 06:00:00,0.11355657624414886,100
224,34.0,-26.0,100,2018-06-23 12:00:00,0.1135072050231973,100
225,34.0,-26.0,100,2018-06-23 12:00:00,0.1135072050231973,100
226,34.0,-26.0,100,2018-06-23 18:00:00,0.11336234751281105,100
227,34.0,-26.0,100,2018-06-23 18:00:00,0.11336234751281105,100
228,34.0,-24.0,100,2018-06-23 06:00:00,0.11388673273270936,100
229,34.0,-24.0,100,2018-06-23 06:00:00,0.11388673273270936,100
230,34.0,-24.0,100,2018-06-23 12:00:00,0.11377063199311856,100
231,34.0,-24.0,100,2018-06-23 12:00:00,0.11377063199311856,100
232,34.0,-24.0,100,2018-06-23 18:00:00,0.11392538479474269,100
233,34.0,-24.0,100,2018-06-23 18:00:00,0.11392538479474269,100
234,34.0,-22.0,100,2018-06-23 06:00:00,0.11445249643365288,100
235,34.0,-22.0,100,2018-06-23 06:00:00,0.11445249643365288,100
236,34.0,-22.0,100,2018-06-23 12:00:00,0.11422579896832838,100
237,34.0,-22.0,100,2018-06-23 12:00:00,0.11422579896832838,100
238,34.0,-22.0,100,2018-06-23 18:00:00,0.11462925704771958,100
239,34.0,-22.0,100,2018-06-23 18:00:00,0.11462925704771958,100
240,34.0,-20.0,100,2018-06-23 06:00:00,0.11492778734264564,100
241,34.0,-20.0,100,2018-06-23 06:00:00,0.11492778734264564,100
242,34.0,-20.0,100,2018-06-23 12:00:00,0.11481622955001963,100
243,34.0,-20.0,100,2018-06-23 12:00:00,0.11481622955001963,100
244,34.0,-20.0,100,2018-06-23 18:00:00,0.11541826829392338,100
245,34.0,-20.0,100,2018-06-23 18:00:00,0.11541826829392338,100
246,34.0,-18.0,100,2018-06-23 06:00:00,0.11548384254425809,100
247,34.0,-18.0,100,2018-06-23 06:00:00,0.11548384254425809,100
248,34.0,-18.0,100,2018-06-23 12:00:00,0.11555154699016246,100
249,34.0,-18.0,100,2018-06-23 12:00:00,0.11555154699016246,100
250,34.0,-18.0,100,2018-06-23 18:00:00,0.11621119505265401,100
251,34.0,-18.0,100,2018-06-23 18:00:00,0.11621119505265401,100
252,34.0,-16.0,100,2018-06-23 06:00:00,0.11611197276895796,100
253,34.0,-16.0,100,2018-06-23 06:00:00,0.11611197276895796,100
254,34.0,-16.0,100,2018-06-23 12:00:00,0.11647710393671777,100
255,34.0,-16.0,100,2018-06-23 12:00:00,0.11647710393671777,100
256,34.0,-16.0,100,2018-06-23 18:00:00,0.11741566836200706,100
257,34.0,-16.0,100,2018-06-23 18:00:00,0.11741566836200706,100
258,34.0,-14.0,100,2018-06-23 06:00:00,0.11707940663438379,100
259,34.0,-14.0,100,2018-06-23 06:00:00,0.11707940663438379,100
