,LATITUDE,LONGITUDE,FL_hPa,TIME,MERGED,FL
0,3774000.0,-2550000.0,100,2018-06-23 06:00:00,0.11340439037288982,100
1,3774000.0,-2550000.0,100,2018-06-23 12:00:00,0.11351427554378506,100
2,3774000.0,-2550000.0,100,2018-06-23 18:00:00,0.11348249991571716,100
3,3774000.0,-2380000.0,100,2018-06-23 06:00:00,0.11342299286724485,100
4,3774000.0,-2380000.0,100,2018-06-23 12:00:00,0.11341401602758752,100
5,3774000.0,-2380000.0,100,2018-06-23 18:00:00,0.1131034335474432,100
6,3774000.0,-2210000.0,100,2018-06-23 06:00:00,0.11355657624414885,100
7,3774000.0,-2210000.0,100,2018-06-23 12:00:00,0.1135072050231973,100
8,3774000.0,-2210000.0,100,2018-06-23 18:00:00,0.11336234751281105,100
9,3774000.0,-2040000.0,100,2018-06-23 06:00:00,0.11388673273270936,100
10,3774000.0,-2040000.0,100,2018-06-23 12:00:00,0.11377063199311856,100
11,3774000.0,-2040000.0,100,2018-06-23 18:00:00,0.11392538479474268,100
12,3774000.0,-1870000.0,100,2018-06-23 06:00:00,0.11445249643365288,100
13,3774000.0,-1870000.0,100,2018-06-23 12:00:00,0.11422579896832838,100
14,3774000.0,-1870000.0,100,2018-06-23 18:00:00,0.11462925704771958,100
15,3774000.0,-1700000.0,100,2018-06-23 06:00:00,0.11492778734264565,100
16,3774000.0,-1700000.0,100,2018-06-23 12:00:00,0.11481622955001965,100
17,3774000.0,-1700000.0,100,2018-06-23 18:00:00,0.11541826829392338,100
18,3774000.0,-1530000.0,100,2018-06-23 06:00:00,0.11548384254425807,100
19,3774000.0,-1530000.0,100,2018-06-23 12:00:00,0.11555154699016244,100
20,3774000.0,-1530000.0,100,2018-06-23 18:00:00,0.116211195052654,100
21,3774000.0,-1360000.0,100,2018-06-23 06:00:00,0.11611197276895795,100
22,3774000.0,-1360000.0,100,2018-06-23 12:00:00,0.11647710393671774,100
23,3774000.0,-1360000.0,100,2018-06-23 18:00:00,0.11741566836200705,100
24,3774000.0,-1190000.0,100,2018-06-23 06:00:00,0.1170794066343838,100
25,3774000.0,-1190000.0,100,2018-06-23 12:00:00,0.11769723062920155,100
26,3774000.0,-1190000.0,100,2018-06-23 18:00:00,0.11838199960893454,100
27,3774000.0,-1020000.0,100,2018-06-23 06:00:00,0.11822532668383992,100
28,3774000.0,-1020000.0,100,2018-06-23 12:00:00,0.11858830510645453,100
29,3774000.0,-1020000.0,100,2018-06-23 18:00:00,0.1196889275752557,100
30,3774000.0,-850000.0,100,2018-06-23 06:00:00,0.11926286674225205,100
31,3774000.0,-850000.0,100,2018-06-23 12:00:00,0.11925092454358438,100
32,3774000.0,-850000.0,100,2018-06-23 18:00:00,0.1204112410777366,100
33,3774000.0,-680000.0,100,2018-06-23 06:00:00,0.11975107144711837,100
34,3774000.0,-680000.0,100,2018-06-23 12:00:00,0.11991523496672918,100
35,3774000.0,-680000.0,100,2018-06-23 18:00:00,0.12090077738744615,100
36,3774000.0,-510000.0,100,2018-06-23 06:00:00,0.12000644215176287,100
37,3774000.0,-510000.0,100,2018-06-23 12:00:00,0.12038197926801868,100
38,3774000.0,-510000.0,100,2018-06-23 18:00:00,0.121434583764504,100
39,3774000.0,-340000.0,100,2018-06-23 06:00:00,0.12078244624774595,100
40,3774000.0,-340000.0,100,2018-06-23 12:00:00,0.12068890198713796,100
41,3774000.0,-340000.0,100,2018-06-23 18:00:00,0.1221143109258338,100
42,3774000.0,-170000.0,100,2018-06-23 06:00:00,0.1208238336424238,100
43,3774000.0,-170000.0,100,2018-06-23 12:00:00,0.1207995272708924,100
44,3774000.0,-170000.0,100,2018-06-23 18:00:00,0.12238446324370827,100
45,3774000.0,0.0,100,2018-06-23 06:00:00,0.12046498752764065,100
46,3774000.0,0.0,100,2018-06-23 12:00:00,0.12071231825741707,100
